date,category,description,amount,receipt
2025-11-17,Formation,Stripe Atlas C-Corp formation,500.00,stripe-atlas
2025-11-17,Domains,blackroad.io domain registration,12.00,cloudflare
2025-11-17,Domains,blackroad.me domain registration,12.00,cloudflare
2025-11-17,Domains,blackroad.company domain registration,12.00,cloudflare
2025-11-17,Domains,blackroad.network domain registration,12.00,cloudflare
2025-11-17,Domains,blackroad.systems domain registration,12.00,cloudflare
2025-11-17,Domains,blackroadinc.us domain registration,12.00,cloudflare
2025-11-17,Domains,blackroadai.com domain registration,12.00,cloudflare
2025-11-17,Domains,blackroadqi.com domain registration,12.00,cloudflare
2025-11-17,Domains,blackroadquantum.com domain registration,12.00,cloudflare
2025-11-17,Domains,blackroadquantum.net domain registration,12.00,cloudflare
2025-11-17,Domains,blackroadquantum.info domain registration,12.00,cloudflare
2025-11-17,Domains,blackroadquantum.shop domain registration,12.00,cloudflare
2025-11-17,Domains,blackroadquantum.store domain registration,12.00,cloudflare
2025-11-17,Domains,blackboxprogramming.io domain registration,12.00,cloudflare
2025-11-17,Domains,lucidia.earth domain registration,12.00,cloudflare
2025-11-17,Domains,lucidia.studio domain registration,12.00,cloudflare
2025-11-17,Domains,lucidiaqi.com domain registration,12.00,cloudflare
2025-11-17,Domains,aliceqi.com domain registration,12.00,cloudflare
2025-11-17,Domains,roadchain.io domain registration,12.00,cloudflare
2025-11-17,Domains,roadcoin.io domain registration,12.00,cloudflare
