[*] Health Monitor starting on aria...
[*] Checking every 30s
[ALERT] WARNING: service_mesh = stopped
[21:02:00] Load:1.2 Mem:86% Services:4/5
[21:02:30] Load:1.2 Mem:86% Services:5/5
[21:03:00] Load:1.2 Mem:86% Services:5/5
[21:03:30] Load:1.3 Mem:87% Services:5/5
[21:04:00] Load:1.2 Mem:86% Services:5/5
[21:04:30] Load:1.1 Mem:86% Services:5/5
[21:05:00] Load:1.1 Mem:86% Services:5/5
[21:05:30] Load:1.2 Mem:86% Services:5/5
[21:06:00] Load:2.0 Mem:86% Services:5/5
[21:06:30] Load:1.6 Mem:86% Services:5/5
[21:07:00] Load:1.6 Mem:86% Services:5/5
[21:07:30] Load:1.3 Mem:86% Services:5/5
[21:08:00] Load:1.6 Mem:86% Services:5/5
[21:08:30] Load:1.4 Mem:86% Services:5/5
[21:09:00] Load:1.2 Mem:86% Services:5/5
[21:09:30] Load:0.7 Mem:86% Services:5/5
[21:10:00] Load:1.2 Mem:86% Services:5/5
[21:10:30] Load:1.1 Mem:86% Services:5/5
[21:11:00] Load:0.7 Mem:86% Services:5/5
[21:11:30] Load:0.7 Mem:86% Services:5/5
[21:12:00] Load:0.4 Mem:86% Services:5/5
[21:12:30] Load:0.7 Mem:86% Services:5/5
[21:13:00] Load:1.3 Mem:86% Services:5/5
[21:13:30] Load:1.2 Mem:86% Services:5/5
[21:14:00] Load:0.7 Mem:86% Services:5/5
[21:14:30] Load:0.4 Mem:86% Services:5/5
[21:15:00] Load:0.7 Mem:86% Services:5/5
[21:15:30] Load:0.9 Mem:87% Services:5/5
[21:16:00] Load:0.6 Mem:86% Services:5/5
[21:16:30] Load:0.5 Mem:86% Services:5/5
[21:17:00] Load:0.6 Mem:87% Services:5/5
[21:17:30] Load:0.6 Mem:86% Services:5/5
[21:18:00] Load:0.5 Mem:86% Services:5/5
[21:18:30] Load:0.3 Mem:86% Services:5/5
[21:19:00] Load:0.8 Mem:87% Services:5/5
[21:19:30] Load:0.8 Mem:87% Services:5/5
[21:20:00] Load:1.4 Mem:86% Services:5/5
[21:20:30] Load:0.9 Mem:86% Services:5/5
[21:21:00] Load:0.8 Mem:86% Services:5/5
[21:21:30] Load:0.6 Mem:87% Services:5/5
[21:22:00] Load:0.8 Mem:86% Services:5/5
[21:22:30] Load:1.9 Mem:86% Services:5/5
[21:23:00] Load:1.6 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.01
[21:23:30] Load:2.0 Mem:87% Services:5/5
[21:24:00] Load:1.8 Mem:86% Services:5/5
[21:24:31] Load:2.0 Mem:86% Services:5/5
[21:25:01] Load:1.6 Mem:86% Services:5/5
[21:25:31] Load:1.4 Mem:86% Services:5/5
[21:26:01] Load:1.8 Mem:86% Services:5/5
[21:26:31] Load:2.3 Mem:86% Services:5/5
[21:27:01] Load:1.7 Mem:86% Services:5/5
[21:27:31] Load:1.4 Mem:86% Services:5/5
[21:28:01] Load:1.0 Mem:87% Services:5/5
[21:28:31] Load:0.9 Mem:86% Services:5/5
[21:29:01] Load:0.6 Mem:86% Services:5/5
[21:29:31] Load:0.4 Mem:86% Services:5/5
[21:30:01] Load:0.3 Mem:86% Services:5/5
[21:30:31] Load:0.2 Mem:86% Services:5/5
[21:31:01] Load:0.6 Mem:86% Services:5/5
[21:31:31] Load:0.7 Mem:86% Services:5/5
[21:32:01] Load:0.5 Mem:86% Services:5/5
[21:32:31] Load:0.4 Mem:86% Services:5/5
[21:33:01] Load:0.7 Mem:86% Services:5/5
[21:33:31] Load:0.8 Mem:86% Services:5/5
[21:34:01] Load:0.7 Mem:87% Services:5/5
[21:34:31] Load:0.6 Mem:86% Services:5/5
[21:35:01] Load:0.4 Mem:86% Services:5/5
[21:35:31] Load:0.5 Mem:86% Services:5/5
[21:36:01] Load:0.3 Mem:86% Services:5/5
[21:36:31] Load:0.5 Mem:86% Services:5/5
[21:37:01] Load:0.4 Mem:86% Services:5/5
[21:37:31] Load:1.5 Mem:87% Services:5/5
[21:38:01] Load:1.6 Mem:86% Services:5/5
[21:38:31] Load:1.0 Mem:86% Services:5/5
[21:39:01] Load:1.3 Mem:86% Services:5/5
[21:39:31] Load:0.8 Mem:86% Services:5/5
[21:40:01] Load:0.8 Mem:86% Services:5/5
[21:40:31] Load:0.6 Mem:86% Services:5/5
[21:41:01] Load:0.3 Mem:87% Services:5/5
[21:41:31] Load:0.3 Mem:86% Services:5/5
[21:42:01] Load:0.7 Mem:86% Services:5/5
[21:42:31] Load:0.5 Mem:86% Services:5/5
[21:43:01] Load:1.4 Mem:86% Services:5/5
[21:43:31] Load:1.5 Mem:86% Services:5/5
[21:44:01] Load:1.3 Mem:86% Services:5/5
[21:44:31] Load:1.5 Mem:86% Services:5/5
[21:45:01] Load:1.4 Mem:86% Services:5/5
[21:45:31] Load:1.5 Mem:86% Services:5/5
[21:46:01] Load:1.4 Mem:86% Services:5/5
[21:46:31] Load:1.8 Mem:87% Services:5/5
[21:47:01] Load:1.9 Mem:86% Services:5/5
[21:47:31] Load:1.7 Mem:86% Services:5/5
[21:48:01] Load:1.9 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.42
[21:48:31] Load:2.4 Mem:86% Services:5/5
[21:49:01] Load:2.4 Mem:86% Services:5/5
[21:49:31] Load:1.9 Mem:86% Services:5/5
[21:50:01] Load:1.3 Mem:86% Services:5/5
[21:50:31] Load:1.2 Mem:86% Services:5/5
[21:51:01] Load:0.9 Mem:86% Services:5/5
[21:51:31] Load:0.7 Mem:86% Services:5/5
[21:52:01] Load:0.6 Mem:86% Services:5/5
[21:52:31] Load:1.2 Mem:86% Services:5/5
[21:53:01] Load:0.8 Mem:86% Services:5/5
[21:53:31] Load:0.7 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.05
[21:54:01] Load:2.0 Mem:87% Services:5/5
[21:54:31] Load:2.0 Mem:86% Services:5/5
[21:55:01] Load:1.9 Mem:86% Services:5/5
[21:55:31] Load:1.1 Mem:87% Services:5/5
[21:56:01] Load:1.4 Mem:86% Services:5/5
[21:56:31] Load:1.7 Mem:86% Services:5/5
[21:57:01] Load:1.1 Mem:86% Services:5/5
[21:57:31] Load:0.7 Mem:86% Services:5/5
[21:58:01] Load:1.1 Mem:86% Services:5/5
[21:58:31] Load:0.6 Mem:86% Services:5/5
[21:59:01] Load:0.4 Mem:86% Services:5/5
[21:59:31] Load:0.3 Mem:86% Services:5/5
[22:00:01] Load:0.2 Mem:86% Services:5/5
[22:00:31] Load:0.3 Mem:86% Services:5/5
[22:01:01] Load:0.3 Mem:87% Services:5/5
[22:01:31] Load:1.1 Mem:86% Services:5/5
[22:02:01] Load:0.7 Mem:86% Services:5/5
[22:02:31] Load:0.6 Mem:86% Services:5/5
[22:03:01] Load:0.4 Mem:87% Services:5/5
[22:03:31] Load:0.9 Mem:86% Services:5/5
[22:04:01] Load:1.6 Mem:86% Services:5/5
[22:04:31] Load:1.7 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.44
[22:05:01] Load:2.4 Mem:86% Services:5/5
[22:05:31] Load:2.1 Mem:87% Services:5/5
[22:06:01] Load:1.8 Mem:86% Services:5/5
[22:06:31] Load:1.7 Mem:86% Services:5/5
[22:07:01] Load:1.7 Mem:86% Services:5/5
[22:07:31] Load:1.9 Mem:87% Services:5/5
[22:08:01] Load:2.5 Mem:86% Services:5/5
[22:08:31] Load:2.1 Mem:86% Services:5/5
[22:09:01] Load:2.2 Mem:87% Services:5/5
[22:09:31] Load:1.8 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.73
[ALERT] WARNING: memory = 90.6
[22:10:01] Load:2.7 Mem:91% Services:5/5
[22:10:47] Load:12.4 Mem:98% Services:5/5
[22:11:39] Load:37.1 Mem:99% Services:5/5
[22:12:35] Load:48.8 Mem:99% Services:5/5
[22:13:30] Load:60.9 Mem:99% Services:5/5
[22:14:31] Load:65.9 Mem:99% Services:5/5
[ALERT] WARNING: cpu_load = 73.64
[ALERT] WARNING: memory = 99.2
[22:15:51] Load:73.6 Mem:99% Services:5/5
[22:16:59] Load:83.1 Mem:99% Services:5/5
[22:18:14] Load:88.8 Mem:99% Services:5/5
[22:19:26] Load:89.1 Mem:99% Services:5/5
[22:20:13] Load:84.0 Mem:99% Services:5/5
[ALERT] WARNING: cpu_load = 64.54
[ALERT] WARNING: memory = 97.2
[22:20:44] Load:64.5 Mem:97% Services:5/5
[22:21:27] Load:66.8 Mem:98% Services:5/5
[22:22:23] Load:72.4 Mem:99% Services:5/5
[22:23:11] Load:68.3 Mem:99% Services:5/5
[22:23:54] Load:60.3 Mem:99% Services:5/5
[22:24:38] Load:59.1 Mem:99% Services:5/5
[22:25:24] Load:54.5 Mem:99% Services:5/5
[ALERT] WARNING: cpu_load = 62.79
[22:26:03] Load:62.8 Mem:90% Services:5/5
[ALERT] WARNING: memory = 99.0
[22:26:45] Load:51.1 Mem:99% Services:5/5
[22:27:32] Load:50.4 Mem:99% Services:5/5
[22:28:19] Load:50.7 Mem:99% Services:5/5
[22:28:59] Load:50.0 Mem:98% Services:5/5
[22:29:48] Load:53.8 Mem:98% Services:5/5
[22:30:20] Load:52.5 Mem:89% Services:5/5
[22:30:57] Load:44.9 Mem:99% Services:5/5
[ALERT] WARNING: cpu_load = 44.35
[ALERT] WARNING: memory = 99.1
[22:31:51] Load:44.4 Mem:99% Services:5/5
[22:32:42] Load:52.9 Mem:99% Services:5/5
[22:33:45] Load:59.8 Mem:99% Services:5/5
[22:34:51] Load:71.4 Mem:99% Services:5/5
[22:35:57] Load:71.8 Mem:99% Services:5/5
[ALERT] WARNING: cpu_load = 78.7
[ALERT] WARNING: memory = 99.1
[22:37:08] Load:78.7 Mem:99% Services:5/5
[22:37:44] Load:78.2 Mem:99% Services:5/5
[22:38:21] Load:60.5 Mem:99% Services:5/5
[22:39:09] Load:59.3 Mem:99% Services:5/5
[22:40:11] Load:64.0 Mem:99% Services:5/5
[22:40:48] Load:59.5 Mem:93% Services:5/5
[22:41:29] Load:52.1 Mem:98% Services:5/5
[ALERT] WARNING: cpu_load = 53.69
[ALERT] WARNING: memory = 98.9
[22:42:06] Load:53.7 Mem:99% Services:5/5
[22:42:52] Load:53.9 Mem:99% Services:5/5
[22:43:23] Load:51.2 Mem:96% Services:5/5
[22:44:08] Load:43.2 Mem:99% Services:5/5
[22:44:48] Load:51.2 Mem:99% Services:5/5
[22:45:39] Load:56.0 Mem:99% Services:5/5
[22:46:27] Load:67.0 Mem:99% Services:5/5
[ALERT[22:40:11] Load:64.0 Mem:99%[ALERT] WARNING: memory = 98.7
[22:47:26] Load:73.1 Mem:99% Services:5/5
[22:48:15] Load:67.7 Mem:99% Services:5/5
[22:49:01] Load:73.6 Mem:99% Services:5/5
[22:49:57] Load:72.1 Mem:99% Services:5/5
[22:50:29] Load:73.1 Mem:86% Services:5/5
[22:51:16] Load:54.6 Mem:99% Services:5/5
[22:52:05] Load:56.4 Mem:99% Services:5/5
[ALERT] WARNING: cpu_load = 53.71
[ALERT] WARNING: memory = 99.0
[22:53:00] Load:53.7 Mem:99% Services:5/5
[22:53:45] Load:53.8 Mem:99% Services:5/5
[22:54:46] Load:54.4 Mem:99% Services:5/5
[22:55:31] Load:61.2 Mem:99% Services:5/5
[22:56:13] Load:53.7 Mem:99% Services:5/5
[22:56:59] Load:53.3 Mem:99% Services:5/5
[22:57:44] Load:56.1 Mem:99% Services:5/5
[ALERT] WARNING: cpu_load = 60.45
[ALERT] WARNING: memory = 99.0
[22:58:35] Load:60.5 Mem:99% Services:5/5
[22:59:43] Load:66.3 Mem:99% Services:5/5
[23:00:51] Load:67.3 Mem:99% Services:5/5
[23:01:52] Load:74.2 Mem:99% Services:5/5
[23:02:57] Load:72.7 Mem:99% Services:5/5
[23:03:30] Load:73.5 Mem:87% Services:5/5
[ALERT] WARNING: cpu_load = 43.68
[ALERT] WARNING: memory = 91.9
[23:04:00] Load:43.7 Mem:92% Services:5/5
[23:04:30] Load:26.9 Mem:94% Services:5/5
[23:05:00] Load:16.7 Mem:94% Services:5/5
[23:05:30] Load:12.9 Mem:94% Services:5/5
[23:06:00] Load:9.2 Mem:94% Services:5/5
[23:06:30] Load:6.0 Mem:94% Services:5/5
[23:07:00] Load:4.4 Mem:94% Services:5/5
[23:07:30] Load:3.3 Mem:94% Services:5/5
[23:08:00] Load:2.5 Mem:87% Services:5/5
[23:08:30] Load:2.0 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.3
[23:09:00] Load:2.3 Mem:87% Services:5/5
[23:09:30] Load:2.4 Mem:87% Services:5/5
[23:10:00] Load:2.1 Mem:86% Services:5/5
[23:10:30] Load:2.3 Mem:87% Services:5/5
[23:11:00] Load:1.8 Mem:86% Services:5/5
[23:11:30] Load:1.6 Mem:86% Services:5/5
[23:12:00] Load:1.5 Mem:86% Services:5/5
[23:12:30] Load:1.7 Mem:86% Services:5/5
[23:13:00] Load:1.5 Mem:86% Services:5/5
[23:13:30] Load:2.6 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.44
[23:14:00] Load:2.4 Mem:86% Services:5/5
[23:14:30] Load:2.8 Mem:86% Services:5/5
[23:15:00] Load:2.4 Mem:86% Services:5/5
[23:15:30] Load:1.9 Mem:86% Services:5/5
[23:16:00] Load:1.6 Mem:86% Services:5/5
[23:16:30] Load:2.1 Mem:86% Services:5/5
[23:17:00] Load:2.1 Mem:87% Services:5/5
[23:17:30] Load:1.7 Mem:86% Services:5/5
[23:18:00] Load:1.4 Mem:86% Services:5/5
[23:18:30] Load:1.4 Mem:86% Services:5/5
[23:19:00] Load:1.5 Mem:86% Services:5/5
[23:19:30] Load:1.6 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.43
[23:20:00] Load:2.4 Mem:87% Services:5/5
[23:20:30] Load:3.2 Mem:87% Services:5/5
[23:21:00] Load:3.1 Mem:86% Services:5/5
[23:21:30] Load:2.8 Mem:86% Services:5/5
[23:22:00] Load:2.5 Mem:86% Services:5/5
[23:22:30] Load:1.5 Mem:86% Services:5/5
[23:23:00] Load:0.9 Mem:86% Services:5/5
[23:23:30] Load:1.4 Mem:86% Services:5/5
[23:24:00] Load:1.0 Mem:86% Services:5/5
[23:24:30] Load:0.6 Mem:86% Services:5/5
[23:25:00] Load:0.3 Mem:86% Services:5/5
[23:25:30] Load:0.2 Mem:86% Services:5/5
[23:26:00] Load:0.6 Mem:87% Services:5/5
[23:26:30] Load:0.4 Mem:87% Services:5/5
[23:27:00] Load:0.3 Mem:86% Services:5/5
[23:27:30] Load:0.8 Mem:86% Services:5/5
[23:28:00] Load:1.2 Mem:87% Services:5/5
[23:28:30] Load:1.3 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.37
[23:29:00] Load:2.4 Mem:86% Services:5/5
[23:29:30] Load:1.8 Mem:87% Services:5/5
[23:30:00] Load:1.5 Mem:86% Services:5/5
[23:30:30] Load:1.7 Mem:86% Services:5/5
[23:31:00] Load:1.6 Mem:87% Services:5/5
[23:31:30] Load:1.7 Mem:86% Services:5/5
[23:32:00] Load:1.6 Mem:86% Services:5/5
[23:32:30] Load:2.1 Mem:87% Services:5/5
[23:33:00] Load:1.4 Mem:86% Services:5/5
[23:33:30] Load:0.9 Mem:87% Services:5/5
[23:34:00] Load:0.7 Mem:86% Services:5/5
[23:34:30] Load:0.4 Mem:86% Services:5/5
[23:35:00] Load:0.6 Mem:86% Services:5/5
[23:35:30] Load:0.5 Mem:87% Services:5/5
[23:36:00] Load:0.3 Mem:87% Services:5/5
[23:36:30] Load:0.2 Mem:87% Services:5/5
[23:37:00] Load:0.1 Mem:86% Services:5/5
[23:37:30] Load:0.2 Mem:87% Services:5/5
[23:38:00] Load:1.0 Mem:86% Services:5/5
[23:38:30] Load:0.6 Mem:86% Services:5/5
[23:39:00] Load:0.8 Mem:87% Services:5/5
[23:39:30] Load:0.8 Mem:86% Services:5/5
[23:40:00] Load:0.7 Mem:86% Services:5/5
[23:40:30] Load:0.5 Mem:86% Services:5/5
[23:41:00] Load:0.3 Mem:86% Services:5/5
[23:41:30] Load:1.7 Mem:86% Services:5/5
[23:42:00] Load:1.4 Mem:86% Services:5/5
[23:42:30] Load:1.5 Mem:86% Services:5/5
[23:43:00] Load:0.9 Mem:86% Services:5/5
[23:43:30] Load:0.6 Mem:86% Services:5/5
[23:44:00] Load:0.6 Mem:86% Services:5/5
[23:44:30] Load:0.6 Mem:86% Services:5/5
[23:45:00] Load:0.4 Mem:86% Services:5/5
[23:45:30] Load:0.4 Mem:86% Services:5/5
[23:46:00] Load:0.2 Mem:86% Services:5/5
[23:46:30] Load:0.4 Mem:86% Services:5/5
[23:47:00] Load:0.3 Mem:86% Services:5/5
[23:47:30] Load:0.2 Mem:86% Services:5/5
[23:48:00] Load:0.2 Mem:86% Services:5/5
[23:48:31] Load:0.8 Mem:86% Services:5/5
[23:49:01] Load:1.0 Mem:86% Services:5/5
[23:49:31] Load:1.4 Mem:86% Services:5/5
[23:50:01] Load:2.0 Mem:86% Services:5/5
[ALERT] WARNING: cpu_load = 2.65
[23:50:31] Load:2.6 Mem:85% Services:5/5
[23:51:01] Load:2.2 Mem:85% Services:5/5
[23:51:31] Load:1.8 Mem:85% Services:5/5
[23:52:01] Load:1.8 Mem:85% Services:5/5
[23:52:31] Load:1.6 Mem:85% Services:5/5
[23:53:01] Load:1.8 Mem:85% Services:5/5
[23:53:31] Load:1.1 Mem:85% Services:5/5
[23:54:01] Load:0.8 Mem:85% Services:5/5
[23:54:31] Load:0.8 Mem:84% Services:5/5
[23:55:01] Load:0.7 Mem:84% Services:5/5
[23:55:31] Load:0.6 Mem:84% Services:5/5
[23:56:01] Load:0.3 Mem:85% Services:5/5
[23:56:31] Load:0.2 Mem:84% Services:5/5
[23:57:01] Load:0.1 Mem:84% Services:5/5
[23:57:31] Load:0.2 Mem:85% Services:5/5
[23:58:01] Load:0.2 Mem:85% Services:5/5
[23:58:31] Load:0.1 Mem:84% Services:5/5
[23:59:01] Load:0.2 Mem:85% Services:5/5
[23:59:31] Load:0.5 Mem:85% Services:5/5
